0,-17.827,-0.235,1.222,-16.827,-0.233,1.222,-0.0,0.0,1.0,BEZIER
1,-17.825,-0.235,1.222,-16.825,-0.233,1.222,-0.0,0.0,1.0,BEZIER
2,-17.822,-0.235,1.222,-16.822,-0.233,1.222,-0.0,0.0,1.0,BEZIER
3,-17.817,-0.235,1.222,-16.817,-0.233,1.222,-0.0,-0.0,1.0,BEZIER
5,-17.803,-0.235,1.222,-16.803,-0.233,1.222,-0.0,0.0,1.0,BEZIER
7,-17.781,-0.235,1.222,-16.781,-0.233,1.222,-0.0,0.0,1.0,BEZIER
9,-17.753,-0.235,1.222,-16.753,-0.233,1.222,-0.0,0.0,1.0,BEZIER
11,-17.717,-0.235,1.222,-16.717,-0.233,1.222,-0.0,0.0,1.0,BEZIER
13,-17.675,-0.235,1.222,-16.675,-0.233,1.222,-0.0,0.0,1.0,BEZIER
15,-17.626,-0.235,1.222,-16.626,-0.233,1.222,-0.0,0.0,1.0,BEZIER
16,-17.599,-0.235,1.222,-16.599,-0.233,1.222,-0.0,0.0,1.0,BEZIER
18,-17.54,-0.235,1.222,-16.54,-0.233,1.222,-0.0,0.0,1.0,BEZIER
20,-17.475,-0.235,1.222,-16.475,-0.233,1.222,-0.0,0.0,1.0,BEZIER
22,-17.402,-0.235,1.222,-16.402,-0.233,1.222,-0.0,-0.0,1.0,BEZIER
24,-17.323,-0.235,1.222,-16.323,-0.233,1.222,-0.0,0.0,1.0,BEZIER
27,-17.192,-0.235,1.222,-16.192,-0.234,1.222,-0.0,0.0,1.0,BEZIER
30,-17.046,-0.235,1.222,-16.046,-0.234,1.222,-0.0,0.0,1.0,BEZIER
32,-16.94,-0.235,1.222,-15.94,-0.234,1.222,-0.0,0.0,1.0,BEZIER
33,-16.884,-0.235,1.222,-15.884,-0.234,1.222,-0.0,-0.0,1.0,BEZIER
35,-16.769,-0.235,1.222,-15.769,-0.234,1.222,-0.0,0.0,1.0,BEZIER
36,-16.708,-0.235,1.222,-15.708,-0.234,1.222,-0.0,0.0,1.0,BEZIER
37,-16.647,-0.235,1.222,-15.647,-0.234,1.222,-0.0,0.0,1.0,BEZIER
38,-16.583,-0.235,1.222,-15.583,-0.234,1.222,-0.0,0.0,1.0,BEZIER
39,-16.518,-0.235,1.222,-15.518,-0.234,1.222,-0.0,0.0,1.0,BEZIER
40,-16.451,-0.235,1.222,-15.451,-0.234,1.222,-0.0,0.0,1.0,BEZIER
41,-16.383,-0.235,1.222,-15.383,-0.234,1.222,-0.0,0.0,1.0,BEZIER
43,-16.242,-0.235,1.222,-15.242,-0.234,1.222,-0.0,0.0,1.0,BEZIER
45,-16.094,-0.235,1.222,-15.094,-0.234,1.222,-0.0,0.0,1.0,BEZIER
46,-16.017,-0.235,1.222,-15.017,-0.234,1.222,-0.0,0.0,1.0,BEZIER
47,-15.939,-0.235,1.222,-14.939,-0.234,1.222,-0.0,0.0,1.0,BEZIER
48,-15.859,-0.235,1.222,-14.859,-0.234,1.222,-0.0,0.0,1.0,BEZIER
49,-15.779,-0.235,1.222,-14.779,-0.234,1.222,-0.0,0.0,1.0,BEZIER
50,-15.695,-0.235,1.222,-14.695,-0.234,1.222,-0.0,0.0,1.0,BEZIER
51,-15.611,-0.235,1.222,-14.611,-0.234,1.222,-0.0,0.0,1.0,BEZIER
52,-15.525,-0.235,1.222,-14.525,-0.234,1.222,-0.0,0.0,1.0,BEZIER
53,-15.438,-0.235,1.222,-14.438,-0.234,1.222,-0.0,0.0,1.0,BEZIER
54,-15.348,-0.235,1.222,-14.348,-0.234,1.222,-0.0,0.0,1.0,BEZIER
55,-15.258,-0.235,1.222,-14.258,-0.234,1.222,-0.0,0.0,1.0,BEZIER
56,-15.165,-0.235,1.222,-14.165,-0.234,1.222,-0.0,0.0,1.0,BEZIER
57,-15.072,-0.235,1.222,-14.072,-0.234,1.222,-0.0,-0.0,1.0,BEZIER
58,-14.976,-0.235,1.222,-13.976,-0.234,1.222,-0.0,0.0,1.0,BEZIER
59,-14.879,-0.235,1.222,-13.879,-0.234,1.222,-0.0,0.0,1.0,BEZIER
60,-14.781,-0.235,1.222,-13.781,-0.234,1.222,-0.0,0.0,1.0,BEZIER
61,-14.681,-0.235,1.222,-13.681,-0.234,1.222,-0.0,0.0,1.0,BEZIER
63,-14.476,-0.235,1.222,-13.476,-0.234,1.222,-0.0,0.0,1.0,BEZIER
66,-14.157,-0.235,1.222,-13.157,-0.234,1.222,-0.0,0.0,1.0,BEZIER
69,-13.824,-0.235,1.222,-12.824,-0.234,1.222,-0.0,0.0,1.0,BEZIER
71,-13.595,-0.235,1.222,-12.595,-0.234,1.222,-0.0,0.0,1.0,BEZIER
73,-13.359,-0.235,1.222,-12.359,-0.234,1.222,-0.0,0.0,1.0,BEZIER
74,-13.239,-0.235,1.222,-12.239,-0.234,1.222,-0.0,0.0,1.0,BEZIER
75,-13.118,-0.235,1.222,-12.118,-0.234,1.222,-0.0,0.0,1.0,BEZIER
77,-12.87,-0.235,1.222,-11.87,-0.234,1.222,-0.0,-0.0,1.0,BEZIER
79,-12.616,-0.235,1.222,-11.616,-0.234,1.222,-0.0,0.0,1.0,BEZIER
80,-12.487,-0.235,1.222,-11.487,-0.234,1.222,-0.0,0.0,1.0,BEZIER
81,-12.356,-0.235,1.222,-11.356,-0.234,1.222,-0.0,0.0,1.0,BEZIER
82,-12.224,-0.235,1.222,-11.224,-0.234,1.222,-0.0,0.0,1.0,BEZIER
84,-11.956,-0.235,1.222,-10.956,-0.234,1.222,-0.0,0.0,1.0,BEZIER
86,-11.681,-0.235,1.222,-10.681,-0.234,1.222,-0.0,0.0,1.0,BEZIER
88,-11.401,-0.235,1.222,-10.401,-0.234,1.222,-0.0,0.0,1.0,BEZIER
90,-11.114,-0.235,1.222,-10.114,-0.234,1.222,-0.0,0.0,1.0,BEZIER
92,-10.822,-0.235,1.222,-9.822,-0.234,1.222,-0.0,0.0,1.0,BEZIER
94,-10.524,-0.235,1.222,-9.524,-0.234,1.222,-0.0,0.0,1.0,BEZIER
